,0,1,2,3
0,Albania,2020-05-12,844.5245413780212,"[[7.12378788]
 [7.15783215]
 [6.08661938]
 [6.49185848]
 [5.93508482]
 [5.74622631]
 [5.91428185]
 [5.37470198]
 [5.69414854]]"
1,Andorra,2020-05-12,757.4963414669037,"[[1.4160198 ]
 [1.1009599 ]
 [1.16525805]
 [1.19145131]
 [1.12695706]
 [1.13799429]
 [1.13076019]
 [1.11464393]
 [1.11229694]]"
2,Armenia,2020-05-12,2995.2537174224854,"[[ 92.51373291]
 [ 93.07112885]
 [ 99.69544983]
 [ 16.69652557]
 [120.13077545]
 [ 92.49216461]
 [ 94.58218384]
 [ 93.05042267]
 [ 20.02133369]]"
3,Austria,2020-05-12,16631.412925720215,"[[ 42.56652069]
 [ 79.31917572]
 [102.62915039]
 [127.18785095]
 [118.35128021]
 [142.58978271]
 [139.42219543]
 [162.88920593]
 [158.45776367]]"
4,Azerbaijan,2020-05-12,2312.8858337402344,"[[44.59019852]
 [50.98012543]
 [41.84296036]
 [47.11052704]
 [50.00139618]
 [43.17773056]
 [48.25806046]
 [48.58332443]
 [44.34151077]]"
5,Belarus,2020-05-12,24930.236938476562,"[[ 919.78173828]
 [ 946.61907959]
 [ 968.14837646]
 [ 986.65142822]
 [1010.29962158]
 [1032.95776367]
 [1055.19787598]
 [1079.21264648]
 [1103.3684082 ]]"
6,Belgium,2020-05-12,54266.174560546875,"[[484.5947876 ]
 [510.24108887]
 [510.57440186]
 [517.03570557]
 [529.44763184]
 [536.1541748 ]
 [544.4118042 ]
 [554.11303711]
 [562.60192871]]"
7,Bosnia_and_Herzegovina,2020-05-12,2248.233554840088,"[[32.66696167]
 [92.88407135]
 [42.41000366]
 [59.43541336]
 [14.93021774]
 [70.58194733]
 [11.97567081]
 [79.56873322]
 [ 4.7805357 ]]"
8,Bulgaria,2020-05-12,1784.4606266021729,"[[-3.17738914]
 [42.89438629]
 [16.13632393]
 [23.8498497 ]
 [22.50314903]
 [28.34786606]
 [19.88464546]
 [22.94036484]
 [17.08143044]]"
9,Croatia,2020-05-12,2271.6652393341064,"[[11.77798271]
 [ 8.87515736]
 [10.12110329]
 [12.99125671]
 [14.40230083]
 [18.74025345]
 [22.99983788]
 [38.43834305]
 [45.31900406]]"
10,Cyprus,2020-05-12,1025.06552028656,"[[ 8.94492626]
 [ 9.01060581]
 [11.60783386]
 [12.05527592]
 [16.79433823]
 [16.99647522]
 [26.11386871]
 [27.10989571]
 [32.43230057]]"
11,Czechia,2020-05-12,8002.7482080459595,"[[-23.08630753]
 [ 38.06639481]
 [ 23.64243317]
 [ 48.35429382]
 [110.8585434 ]
 [ 48.49876785]
 [  3.79095936]
 [-43.59466553]
 [ 41.2177887 ]]"
12,Denmark,2020-05-12,10584.606468200684,"[[102.44686127]
 [134.94682312]
 [122.87634277]
 [130.96762085]
 [132.76678467]
 [135.31954956]
 [137.58755493]
 [139.48338318]
 [141.21154785]]"
13,Estonia,2020-05-12,1942.576994895935,"[[10.83952522]
 [13.45550823]
 [19.82180023]
 [31.83980942]
 [28.48662376]
 [18.42463303]
 [52.96380615]
 [51.23217773]
 [16.51311111]]"
14,Faroe_Islands,2020-05-12,187.68192579597235,"[[0.07827602]
 [0.07663312]
 [0.07548185]
 [0.07529166]
 [0.07527391]
 [0.07524562]
 [0.07524132]
 [0.07524151]
 [0.07524079]]"
15,Finland,2020-05-12,6071.304649353027,"[[ 99.55957794]
 [102.60282135]
 [112.90428162]
 [ 91.38497925]
 [100.58733368]
 [101.83315277]
 [ 88.00485992]
 [101.57197571]
 [ 93.85566711]]"
16,France,2020-05-12,136533.33526611328,"[[894.09606934]
 [705.57214355]
 [645.34796143]
 [716.14544678]
 [606.34173584]
 [541.48632812]
 [532.46350098]
 [481.39593506]
 [431.48614502]]"
17,Georgia,2020-05-12,733.5933270454407,"[[62.90232468]
 [ 0.69772607]
 [24.03538513]
 [ 0.62202412]
 [ 3.46628785]
 [26.22269249]
 [ 0.37100589]
 [ 8.68664169]
 [24.58923912]]"
18,Germany,2020-05-12,171131.64184570312,"[[1029.08239746]
 [1216.40087891]
 [1117.46850586]
 [1012.96838379]
 [ 953.65405273]
 [ 903.03796387]
 [ 848.89520264]
 [ 797.69537354]
 [ 756.43908691]]"
19,Gibraltar,2020-05-12,174.1177077293396,"[[5.28961658]
 [2.8862164 ]
 [4.47348642]
 [3.80383754]
 [2.81306529]
 [3.24231791]
 [3.01380372]
 [2.3140204 ]
 [2.28134346]]"
