,0,1,2,3
28,Jersey,2020-05-12,300.1671653985977,"[[0.9866184 ]
 [1.1754173 ]
 [1.8763448 ]
 [0.73073834]
 [0.79730606]
 [1.0673368 ]
 [0.8467381 ]
 [0.83705866]
 [0.84960693]]"
29,Kosovo,2020-05-12,854.726420044899,"[[3.77759933]
 [6.77590656]
 [4.44986534]
 [3.56403136]
 [3.83463287]
 [2.79752207]
 [2.51946783]
 [2.23497748]
 [1.77241719]]"
30,Latvia,2020-05-12,957.275378704071,"[[ 8.76501846]
 [ 8.64926434]
 [ 6.31861067]
 [ 9.91352177]
 [ 9.69991779]
 [ 9.59860516]
 [11.0396862 ]
 [11.02297306]
 [11.26778126]]"
31,Liechtenstein,2020-05-12,83.0002224589698,"[[2.33124010e-05]
 [2.40644440e-05]
 [2.47708522e-05]
 [2.50106677e-05]
 [2.50469893e-05]
 [2.50609592e-05]
 [2.50637531e-05]
 [2.50637531e-05]
 [2.50651501e-05]]"
32,Lithuania,2020-05-12,1616.4008522033691,"[[13.6211071 ]
 [13.98258495]
 [15.52059841]
 [18.32455254]
 [21.09737587]
 [24.71627617]
 [29.03032875]
 [34.23723984]
 [39.87078857]]"
33,Luxembourg,2020-05-12,3964.427971839905,"[[16.32154083]
 [21.20211792]
 [18.64016724]
 [14.28725433]
 [13.95577335]
 [16.60844421]
 [19.47455978]
 [17.24010277]
 [14.6980114 ]]"
34,Malta,2020-05-12,470.68268206715584,"[[0.61461252]
 [0.50729054]
 [0.3552978 ]
 [0.3920998 ]
 [0.37449279]
 [0.3607735 ]
 [0.36157739]
 [0.35901937]
 [0.35751835]]"
35,Moldova,2020-05-12,4555.765853881836,"[[82.23675537]
 [62.991745  ]
 [60.48350525]
 [59.73499298]
 [51.24085617]
 [50.78487015]
 [47.91809464]
 [44.33032227]
 [44.04471207]]"
36,Monaco,2020-05-12,94.99841750739142,"[[-0.0001315 ]
 [-0.00014831]
 [-0.00016367]
 [-0.0001807 ]
 [-0.00018613]
 [-0.00019009]
 [-0.00019288]
 [-0.00019419]
 [-0.00019503]]"
37,Montenegro,2020-05-12,324.78376719355583,"[[0.28725821]
 [0.28964788]
 [0.30042315]
 [0.31535423]
 [0.31615919]
 [0.31778461]
 [0.31886381]
 [0.31904587]
 [0.31923026]]"
38,Netherlands,2020-05-12,45808.485778808594,"[[550.61785889]
 [565.98046875]
 [559.38470459]
 [613.24475098]
 [643.58123779]
 [633.42169189]
 [650.4241333 ]
 [680.01873779]
 [675.81219482]]"
39,North_Macedonia,2020-05-12,1729.0002250671387,"[[28.59337616]
 [25.33091927]
 [21.51379776]
 [25.22959328]
 [24.60124969]
 [24.20197105]
 [24.56988525]
 [24.49621391]
 [24.46321869]]"
40,Norway,2020-05-12,8237.360187530518,"[[39.54764175]
 [79.67660522]
 [27.82996368]
 [32.51337814]
 [96.03927612]
 [46.77147293]
 [44.04319382]
 [63.85254669]
 [48.08610916]]"
41,Poland,2020-05-12,15445.943634033203,"[[236.09376526]
 [246.80256653]
 [240.18580627]
 [234.39355469]
 [230.67578125]
 [226.15603638]
 [222.32977295]
 [218.80116272]
 [215.50518799]]"
42,Portugal,2020-05-12,26460.12407684326,"[[200.93560791]
 [110.60043335]
 [ 81.76265717]
 [186.10321045]
 [116.93417358]
 [121.42704773]
 [180.60958862]
 [127.30848694]
 [144.44287109]]"
43,Romania,2020-05-12,14500.68701171875,"[[233.43795776]
 [231.41497803]
 [185.79492188]
 [192.84542847]
 [208.91964722]
 [179.66131592]
 [178.71839905]
 [191.13623047]
 [166.75813293]]"
44,Russia,2020-05-12,266594.669921875,"[[ 9962.61230469]
 [11219.16894531]
 [12603.11425781]
 [13742.15039062]
 [15323.87792969]
 [16999.23242188]
 [18771.47070312]
 [20837.17578125]
 [23081.8671875 ]]"
45,San_Marino,2020-05-12,605.6017610430717,"[[5.86834288]
 [6.50234032]
 [1.40857768]
 [3.70661521]
 [3.137326  ]
 [1.12816823]
 [1.91118038]
 [1.25003767]
 [0.68917269]]"
46,Serbia,2020-05-12,10588.491104125977,"[[184.34526062]
 [153.98802185]
 [146.55680847]
 [144.12554932]
 [131.90641785]
 [126.20503235]
 [119.86128998]
 [112.54756165]
 [106.95516205]]"
47,Slovakia,2020-05-12,1543.9128704071045,"[[ 8.09183979]
 [ 9.16818905]
 [ 9.97781563]
 [13.54229927]
 [15.70316887]
 [17.90142059]
 [19.88404274]
 [21.02439308]
 [21.61970139]]"
48,Slovenia,2020-05-12,1460.0846483111382,"[[5.57414103]
 [3.80430818]
 [3.01208973]
 [2.63450789]
 [1.92199135]
 [1.43329239]
 [1.12868977]
 [0.86719006]
 [0.70843792]]"
49,Spain,2020-05-12,226867.47576904297,"[[1043.5267334 ]
 [1318.70483398]
 [1396.52734375]
 [1162.74194336]
 [1185.24267578]
 [1123.57312012]
 [1081.32678223]
 [1013.2779541 ]
 [ 960.55438232]]"
50,Sweden,2020-05-12,26994.41766357422,"[[688.09576416]
 [503.53765869]
 [494.84197998]
 [659.47912598]
 [503.92089844]
 [472.84863281]
 [631.2956543 ]
 [498.80502319]
 [459.59292603]]"
51,Switzerland,2020-05-12,30683.21706390381,"[[123.52116394]
 [115.3589325 ]
 [111.20717621]
 [108.45758057]
 [104.90776825]
 [101.45354462]
 [ 98.11258698]
 [ 94.76239014]
 [ 91.43592072]]"
52,Ukraine,2020-05-12,14718.55647277832,"[[288.61264038]
 [637.57720947]
 [242.40351868]
 [483.91433716]
 [314.11276245]
 [362.25521851]
 [314.07324219]
 [326.92630005]
 [337.6812439 ]]"
53,United_Kingdom,2020-05-12,230675.90283203125,"[[5699.55224609]
 [5596.58251953]
 [5197.37939453]
 [5473.75830078]
 [5381.28613281]
 [5257.9375    ]
 [5326.42480469]
 [5266.63818359]
 [5216.34375   ]]"
