,0,1,2,3
0,Albania,2020-05-11,874.2401123046875,"[[ 8.9019146 ]
 [ 9.64991474]
 [10.1700182 ]
 [10.73756599]
 [11.12221241]
 [11.41102886]
 [11.57627583]
 [11.67118168]]"
1,Andorra,2020-05-11,759.9847437143326,"[[1.29918921]
 [1.41181564]
 [1.67621374]
 [1.56655419]
 [1.89884841]
 [1.56508577]
 [2.13249755]
 [1.4345392 ]]"
2,Armenia,2020-05-11,2924.089797973633,"[[ 69.36637115]
 [156.28094482]
 [ 79.67494202]
 [ 81.73602295]
 [ 56.68099976]
 [ 79.83842468]
 [ 56.56233215]
 [ 70.94976044]]"
3,Austria,2020-05-11,16081.664730072021,"[[61.36062622]
 [58.74342346]
 [58.94161606]
 [63.58878326]
 [66.05914307]
 [68.86763   ]
 [71.70031738]
 [74.40319061]]"
4,Azerbaijan,2020-05-11,2286.068073272705,"[[40.3757782 ]
 [50.63300705]
 [47.76988983]
 [45.6801033 ]
 [50.65564346]
 [51.24532318]
 [51.24456787]
 [54.46376038]]"
5,Belarus,2020-05-11,23193.870849609375,"[[898.57739258]
 [909.5480957 ]
 [914.72729492]
 [918.1807251 ]
 [923.85803223]
 [928.71362305]
 [933.59210205]
 [938.67358398]]"
6,Belgium,2020-05-11,54057.232360839844,"[[586.13580322]
 [517.22332764]
 [563.05181885]
 [560.95300293]
 [563.45709229]
 [578.65618896]
 [580.36358643]
 [590.39154053]]"
7,Bosnia_and_Herzegovina,2020-05-11,2136.1908016204834,"[[36.87499619]
 [27.78032494]
 [50.10227203]
 [32.10070419]
 [44.48771286]
 [36.87286758]
 [35.28231812]
 [33.68960571]]"
8,Bulgaria,2020-05-11,2185.627338409424,"[[ 19.36717224]
 [137.56413269]
 [ 88.77990723]
 [ 36.31489182]
 [105.8186264 ]
 [ 78.36808777]
 [ 39.50621033]
 [ 85.90830994]]"
9,Croatia,2020-05-11,2202.2471599578857,"[[ 4.96483231]
 [ 7.84117889]
 [ 8.63697529]
 [11.22533512]
 [12.92114258]
 [16.70273209]
 [21.04194641]
 [30.91301727]]"
10,Cyprus,2020-05-11,907.091888666153,"[[6.6264739 ]
 [6.499897  ]
 [6.09962559]
 [5.7899332 ]
 [5.3082242 ]
 [4.83418465]
 [4.25717258]
 [3.67637753]]"
11,Czechia,2020-05-11,7996.224603652954,"[[13.24749756]
 [40.24237061]
 [69.05190277]
 [30.12594414]
 [ 9.72281265]
 [ 4.64717293]
 [31.36155891]
 [42.82534409]]"
12,Denmark,2020-05-11,9933.364013671875,"[[76.02008057]
 [38.79790497]
 [74.2074585 ]
 [45.26794052]
 [80.6776123 ]
 [53.67603683]
 [84.99113464]
 [72.72584534]]"
13,Estonia,2020-05-11,1923.2309427261353,"[[ 6.71830082]
 [17.02095032]
 [24.07361794]
 [30.2555294 ]
 [41.27906799]
 [34.99553299]
 [22.94198227]
 [46.945961  ]]"
14,Faroe_Islands,2020-05-11,187.72738167643547,"[[0.11522315]
 [0.08193888]
 [0.08393505]
 [0.09244133]
 [0.08752212]
 [0.08858663]
 [0.08914962]
 [0.08858489]]"
15,Finland,2020-05-11,6032.367286682129,"[[149.21246338]
 [109.63121033]
 [111.24936676]
 [106.32288361]
 [ 97.10344696]
 [ 93.92488861]
 [ 92.58573914]
 [ 93.3372879 ]]"
16,France,2020-05-11,137846.7993774414,"[[887.80145264]
 [774.13726807]
 [845.15441895]
 [862.74597168]
 [846.86541748]
 [874.63812256]
 [885.347229  ]
 [891.10949707]]"
17,Georgia,2020-05-11,754.2226884365082,"[[48.17001724]
 [42.83590317]
 [-3.00356078]
 [ 6.8446188 ]
 [36.5616951 ]
 [18.04531479]
 [15.65770912]
 [ 7.110991  ]]"
18,Germany,2020-05-11,171645.0860595703,"[[ 566.77099609]
 [1323.0690918 ]
 [1397.9576416 ]
 [1227.9642334 ]
 [1210.32446289]
 [1200.42724609]
 [1134.38635254]
 [1088.18603516]]"
19,Gibraltar,2020-05-11,164.66126990318298,"[[5.12598658]
 [1.84416592]
 [1.98940253]
 [4.67289686]
 [2.64370298]
 [1.07363963]
 [1.37608373]
 [1.93539166]]"
20,Greece,2020-05-11,3047.391770362854,"[[ -1.40996957]
 [ 45.77904892]
 [  9.05327702]
 [144.08055115]
 [ -2.02933002]
 [ 39.38311768]
 [ 12.48809338]
 [180.04698181]]"
21,Guernsey,2020-05-11,264.689910531044,"[[1.60263824]
 [0.94298923]
 [1.37198246]
 [1.6721065 ]
 [1.37013125]
 [2.04497218]
 [1.47839987]
 [2.20669079]]"
22,Holy_See,2020-05-11,12.234522577375174,"[[-0.01336218]
 [ 0.27916464]
 [ 0.26819965]
 [ 0.1648397 ]
 [ 0.04730961]
 [ 0.09275648]
 [ 0.1782397 ]
 [ 0.21737497]]"
23,Hungary,2020-05-11,3729.32315826416,"[[ 81.38867188]
 [ 67.82484436]
 [ 84.91770172]
 [ 77.59718323]
 [114.62820435]
 [ 98.04521179]
 [111.97824097]
 [ 94.94309998]]"
24,Iceland,2020-05-11,1799.4664674028754,"[[0.26731819]
 [0.28118056]
 [0.17675437]
 [0.18574972]
 [0.16509655]
 [0.14264029]
 [0.13045025]
 [0.11727747]]"
25,Ireland,2020-05-11,22987.353713989258,"[[301.41705322]
 [277.09985352]
 [255.02661133]
 [229.85401917]
 [211.37854004]
 [194.12686157]
 [177.93348694]
 [164.51728821]]"
26,Isle_of_Man,2020-05-11,431.37214279174805,"[[ 3.51972294]
 [ 4.90901232]
 [ 9.63825035]
 [ 9.48791504]
 [24.21890068]
 [18.85996246]
 [33.3801651 ]
 [ 7.3582139 ]]"
27,Italy,2020-05-11,225786.14770507812,"[[1973.80725098]
 [2005.03894043]
 [2002.79418945]
 [2046.13891602]
 [2071.62109375]
 [2088.90649414]
 [2122.07763672]
 [2147.76318359]]"
28,Jersey,2020-05-11,313.85969161987305,"[[1.83616209]
 [3.07376528]
 [3.77720022]
 [2.29105353]
 [3.11506557]
 [3.1394546 ]
 [2.59413385]
 [3.03285646]]"
29,Kosovo,2020-05-11,888.005383014679,"[[ 5.67525816]
 [ 6.70472145]
 [ 6.7677536 ]
 [13.02288437]
 [10.37434769]
 [ 8.32940197]
 [ 6.41752529]
 [ 7.71349049]]"
30,Latvia,2020-05-11,970.3063912391663,"[[ 9.35748577]
 [14.49087048]
 [ 6.82628107]
 [10.09061813]
 [18.93572044]
 [10.60187149]
 [11.27333641]
 [17.73020744]]"
31,Liechtenstein,2020-05-11,81.54000113904476,"[[-0.23657666]
 [-0.24417518]
 [-0.17640069]
 [-0.10492752]
 [-0.12874921]
 [-0.18313499]
 [-0.20605145]
 [-0.17998315]]"
32,Lithuania,2020-05-11,1484.6960061192513,"[[-8.2436142 ]
 [ 0.15799505]
 [ 9.0119648 ]
 [ 4.26986933]
 [ 7.67966938]
 [-9.40040207]
 [23.11336899]
 [52.10715485]]"
33,Luxembourg,2020-05-11,4014.980661869049,"[[37.66270828]
 [19.21797562]
 [12.38698006]
 [ 7.26894569]
 [ 5.9729352 ]
 [26.04064369]
 [45.7654686 ]
 [48.66500473]]"
34,Malta,2020-05-11,534.525276184082,"[[ 4.15022182]
 [ 4.2781806 ]
 [ 4.78608084]
 [ 8.96699238]
 [10.31331921]
 [11.84531593]
 [12.18646049]
 [10.99870491]]"
35,Moldova,2020-05-11,4844.7370529174805,"[[ 85.3636322 ]
 [114.59381866]
 [113.00550079]
 [110.65726471]
 [101.75402832]
 [ 89.76311493]
 [ 81.0970993 ]
 [ 96.50259399]]"
36,Monaco,2020-05-11,94.519222214818,"[[ 0.02567699]
 [ 0.0463561 ]
 [ 0.05385568]
 [ 0.01416662]
 [-0.08661244]
 [-0.20529613]
 [-0.2251198 ]
 [-0.1038048 ]]"
37,Montenegro,2020-05-11,348.5859490633011,"[[1.05547214]
 [1.49520314]
 [2.46952438]
 [3.12939858]
 [3.93564367]
 [4.4505558 ]
 [4.9233017 ]
 [5.12684965]]"
38,Netherlands,2020-05-11,42924.366302490234,"[[416.71286011]
 [389.79544067]
 [365.17633057]
 [342.27941895]
 [321.13806152]
 [301.69821167]
 [283.89053345]
 [267.67544556]]"
39,North_Macedonia,2020-05-11,1701.4296073913574,"[[31.6493187 ]
 [28.09675026]
 [28.38315392]
 [17.06142616]
 [22.70617867]
 [24.94623184]
 [20.82913971]
 [21.75740814]]"
40,Norway,2020-05-11,7870.016385793686,"[[37.69539642]
 [ 3.01298594]
 [15.09423923]
 [ 4.84972429]
 [12.15668774]
 [ 6.07775545]
 [14.84436417]
 [17.28523254]]"
41,Poland,2020-05-11,16195.567749023438,"[[306.06109619]
 [338.4961853 ]
 [360.4671936 ]
 [370.53366089]
 [376.18212891]
 [364.71481323]
 [352.79547119]
 [351.31719971]]"
42,Portugal,2020-05-11,27324.54801940918,"[[497.00820923]
 [193.70372009]
 [241.13818359]
 [304.24520874]
 [248.90208435]
 [218.94248962]
 [233.42906189]
 [197.17906189]]"
43,Romania,2020-05-11,15648.239318847656,"[[495.03106689]
 [455.27069092]
 [389.38088989]
 [378.77722168]
 [340.08453369]
 [308.82995605]
 [287.89453125]
 [260.97042847]]"
44,Russia,2020-05-11,239431.9658203125,"[[ 9794.22851562]
 [11141.97460938]
 [12257.56835938]
 [13373.59960938]
 [14833.85351562]
 [16285.12988281]
 [17931.41015625]
 [19760.20117188]]"
45,San_Marino,2020-05-11,591.6561359167099,"[[ 16.16867447]
 [  6.37552977]
 [ 10.10850239]
 [ -9.05043507]
 [-12.52589798]
 [  9.91024494]
 [  1.02294719]
 [-10.35342979]]"
46,Serbia,2020-05-11,11021.15023803711,"[[260.74136353]
 [215.60540771]
 [203.76737976]
 [207.19743347]
 [198.23970032]
 [193.8230896 ]
 [191.09585571]
 [188.68000793]]"
47,Slovakia,2020-05-11,1596.852520942688,"[[ 7.15095139]
 [ 8.45540524]
 [ 9.53873634]
 [13.5730648 ]
 [18.66539001]
 [27.51346779]
 [42.99913788]
 [61.95636749]]"
48,Slovenia,2020-05-11,1576.8990278244019,"[[15.29503155]
 [17.05361938]
 [17.37714577]
 [17.47165108]
 [17.57215691]
 [17.6525631 ]
 [17.71426582]
 [17.76259422]]"
49,Spain,2020-05-11,225669.37860107422,"[[ 766.60845947]
 [1492.35327148]
 [1163.32141113]
 [1124.89196777]
 [1196.72314453]
 [1127.39953613]
 [1112.43896484]
 [1103.6418457 ]]"
50,Sweden,2020-05-11,25363.13150024414,"[[490.54318237]
 [517.78894043]
 [358.61373901]
 [384.91702271]
 [443.42584229]
 [307.70248413]
 [353.60098267]
 [424.53930664]]"
51,Switzerland,2020-05-11,30658.816650390625,"[[116.5561142 ]
 [115.56843567]
 [117.21347046]
 [117.28553772]
 [117.46805573]
 [116.43530273]
 [114.14276123]
 [110.14697266]]"
52,Ukraine,2020-05-11,14187.501808166504,"[[ 599.60394287]
 [ -93.56344604]
 [ -55.4507637 ]
 [1138.74389648]
 [ 164.76898193]
 [ 493.59030151]
 [ -43.6355629 ]
 [ 572.44445801]]"
53,United_Kingdom,2020-05-11,231229.296875,"[[5598.32568359]
 [6217.65820312]
 [5565.18017578]
 [5651.71435547]
 [6256.70263672]
 [6411.75439453]
 [6456.04638672]
 [6811.91503906]]"
