,0,1,2
0,Albania,2020-05-12,897.557728767395
1,Andorra,2020-05-12,752.7396703958511
2,Armenia,2020-05-12,2784.0271759033203
3,Austria,2020-05-12,16169.635803222656
4,Azerbaijan,2020-05-12,2382.2229232788086
5,Belarus,2020-05-12,24786.279663085938
6,Belgium,2020-05-12,54280.70193481445
7,Bosnia_and_Herzegovina,2020-05-12,2207.6393451690674
8,Bulgaria,2020-05-12,2124.872386932373
9,Croatia,2020-05-12,2433.9800395965576
10,Cyprus,2020-05-12,953.1626148223877
11,Czechia,2020-05-12,8419.505661010742
12,Denmark,2020-05-12,11200.455352783203
13,Estonia,2020-05-12,1910.0959930419922
14,Faroe_Islands,2020-05-12,186.9996039061807
15,Finland,2020-05-12,6107.83683013916
16,France,2020-05-12,138363.68969726562
17,Georgia,2020-05-12,670.6885221004486
18,Germany,2020-05-12,176935.59698486328
19,Gibraltar,2020-05-12,144.12318526115268
20,Greece,2020-05-12,2744.5405319333076
21,Guernsey,2020-05-12,255.62044776976109
22,Holy_See,2020-05-12,10.999412085526274
23,Hungary,2020-05-12,3725.5062942504883
24,Iceland,2020-05-12,1802.2691799253225
25,Ireland,2020-05-12,22900.59555053711
26,Isle_of_Man,2020-05-12,321.12716622650623
27,Italy,2020-05-12,221400.03173828125
28,Jersey,2020-05-12,292.56582885980606
29,Kosovo,2020-05-12,868.2143969535828
30,Latvia,2020-05-12,1007.5849618911743
31,Liechtenstein,2020-05-12,82.97095983102918
32,Lithuania,2020-05-12,1760.5688915252686
33,Luxembourg,2020-05-12,4048.803638458252
34,Malta,2020-05-12,535.7022252082825
35,Moldova,2020-05-12,5279.216911315918
36,Monaco,2020-05-12,94.99876677058637
37,Montenegro,2020-05-12,320.05140064656734
38,Netherlands,2020-05-12,46696.96878051758
39,North_Macedonia,2020-05-12,1724.231897354126
40,Norway,2020-05-12,8299.592540740967
41,Poland,2020-05-12,15783.48112487793
42,Portugal,2020-05-12,28438.384155273438
43,Romania,2020-05-12,15661.733917236328
44,Russia,2020-05-12,222037.36962890625
45,San_Marino,2020-05-12,647.1742136478424
46,Serbia,2020-05-12,10767.636543273926
47,Slovakia,2020-05-12,1514.7353086471558
48,Slovenia,2020-05-12,1558.4279370307922
49,Spain,2020-05-12,229531.44165039062
50,Sweden,2020-05-12,26534.831024169922
51,Switzerland,2020-05-12,30781.16335296631
52,Ukraine,2020-05-12,14264.894882202148
53,United_Kingdom,2020-05-12,244230.76416015625
